usuarios;grupo;senha;politica
adolfo.carlos;DBA;MeMudar123456!;AmazonRDSFullAccess
aguinaldo.balsemao;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
alda.lage;CloudAdmin;MeMudar123456!;AdministratorAccess
amelia.penteado;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
adailton.matias;DBA;MeMudar123456!;AmazonRDSFullAccess
agata.rodrigues;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
alicia.locatelli;CloudAdmin;MeMudar123456!;AdministratorAccess
amarildo.sousa;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
cesar.pucci;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
clara.fritz;DBA;MeMudar123456!;AmazonRDSFullAccess
cristiane.honda;DBA;MeMudar123456!;AmazonRDSFullAccess
desiree.ferrari;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
diana.marques;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
gustavo.pranahyba;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
helenice.kurtz;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
iasmin.serra;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
iago.moreira;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
italo.bernardo;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
jaqueline.laas;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
lavinia.oliveira;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
raquel.watanabe;DBA;MeMudar123456!;AmazonRDSFullAccess
simony.maranhao;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
sandro.brasil;CloudAdmin;MeMudar123456!;AdministratorAccess
sofia.ueda;LinuxAdmin;MeMudar123456!;AmazonEC2FullAccess
sophia.quintaes;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
soraya.mayer;DBA;MeMudar123456!;AmazonRDSFullAccess
ubiratan.koszlowsky;RedesAdmin;MeMudar123456!;AmazonVPCFullAccess
vanilda.pedreira;CloudAdmin;MeMudar123456!;AdministratorAccess
xisto.barroso;CloudAdmin;MeMudar123456!;AdministratorAccess
zenon.mascarenhas;CloudAdmin;MeMudar123456!;AdministratorAccess
